ano;esfera_administrativa;cnuc;nome_da_uc;uf;municipios_abrangidos;latitude;longitude;bioma;area_soma_bioma_(ha);grau_de_efetividade;calculo_efetividade;calculo_resultados;calculo_produtos;calculo_contexto;calculo_planejamento;calculo_insumos;calculo_processo
2018;Federal;0000.00.0029;AREA DE PROTECAO AMBIENTAL SERRA DA IBIAPABA;CE, PI;Viçosa do Ceará (CE), Bom Princípio do Piauí (PI), Brasileira (PI), Buriti dos Lopes (PI), Cocal (PI), Conceição do Canindé (PI), Domingos Mourão (PI), Lagoa de São Francisco (PI), Piracuruca (PI), Piripiri (PI), Pedro II (PI), Chaval (CE), Gran;-3,906759131;-41,45423668;CAATINGA;1624173;4 - Reduzida Efetividade;0.393575272;0.4374877;0.546875;0.29166667;0.28137661;0.36538462;0.4765625
2020;Federal;0000.00.0011;AREA DE PROTECAO AMBIENTAL SERRA DA MANTIQUEIRA;MG, RJ, SP;Aiuruoca (MG), Alagoa (MG), Bocaina de Minas (MG), Baependi (MG), Delfim Moreira (MG), Itamonte (MG), Itanhandu (MG), Liberdade (MG), Marmelópolis (MG), Passa Quatro (MG), Passa Vinte (MG), Piranguçu (MG), Pouso Alto (MG), Virgínia (MG), Wenceslau Bra;-22,37939444;-44,95357398;MATA ATLANTICA;437520;3 - Moderada Efetividade;0.519072259;0.49274691;0.50320513;0.375;0.35471471;0.85625;0.61111111
2019;Federal;0000.00.0011;AREA DE PROTECAO AMBIENTAL SERRA DA MANTIQUEIRA;MG, RJ, SP;Aiuruoca (MG), Alagoa (MG), Bocaina de Minas (MG), Baependi (MG), Delfim Moreira (MG), Itamonte (MG), Itanhandu (MG), Liberdade (MG), Marmelópolis (MG), Passa Quatro (MG), Passa Vinte (MG), Piranguçu (MG), Pouso Alto (MG), Virgínia (MG), Wenceslau Bra;-22,37939444;-44,95357398;MATA ATLANTICA;437520;3 - Moderada Efetividade;0.480041063;0.45100309;0.48717949;0.33333333;0.32136561;0.82142857;0.5546875
2018;Federal;0000.00.0011;AREA DE PROTECAO AMBIENTAL SERRA DA MANTIQUEIRA;MG, RJ, SP;Aiuruoca (MG), Alagoa (MG), Bocaina de Minas (MG), Baependi (MG), Delfim Moreira (MG), Itamonte (MG), Itanhandu (MG), Liberdade (MG), Marmelópolis (MG), Passa Quatro (MG), Passa Vinte (MG), Piranguçu (MG), Pouso Alto (MG), Virgínia (MG), Wenceslau Bra;-22,37939444;-44,95357398;MATA ATLANTICA;437520;3 - Moderada Efetividade;0.418374568;0.53549383;0.49509804;0.33333333;0.32269942;0.38541667;0.45833333
2017;Federal;0000.00.0011;AREA DE PROTECAO AMBIENTAL SERRA DA MANTIQUEIRA;MG, RJ, SP;Aiuruoca (MG), Alagoa (MG), Bocaina de Minas (MG), Baependi (MG), Delfim Moreira (MG), Itamonte (MG), Itanhandu (MG), Liberdade (MG), Marmelópolis (MG), Passa Quatro (MG), Passa Vinte (MG), Piranguçu (MG), Pouso Alto (MG), Virgínia (MG), Wenceslau Bra;-22,37939444;-44,95357398;MATA ATLANTICA;437520;4 - Reduzida Efetividade;0.346627786;0.16024306;0.63657407;0.41666667;0.39132654;0.23828125;0.3828125
2019;Federal;0000.00.1683;AREA DE PROTECAO AMBIENTAL SERRA DA MERUOCA;CE;Alcântaras (CE), Massapê (CE), Meruoca (CE), Sobral (CE);-3,589677609;-40,47861671;CAATINGA;29361;3 - Moderada Efetividade;0.512524866;0.4765625;0.67708333;0.29166667;0.42726184;0.65625;0.625
2018;Federal;0000.00.1683;AREA DE PROTECAO AMBIENTAL SERRA DA MERUOCA;CE;Alcântaras (CE), Massapê (CE), Meruoca (CE), Sobral (CE);-3,589677609;-40,47861671;CAATINGA;29361;3 - Moderada Efetividade;0.436414525;0.47916667;0.66964286;0.23611111;0.28102518;0.4375;0.60714286
2020;Federal;0000.00.1683;AREA DE PROTECAO AMBIENTAL SERRA DA MERUOCA;CE;Alcântaras (CE), Massapê (CE), Meruoca (CE), Sobral (CE);-3,589677609;-40,47861671;CAATINGA;29361;4 - Reduzida Efetividade;0.383903138;0.44655258;0.50961538;0.14583333;0.30857;0.5390625;0.45535714
2020;Federal;0000.00.0012;AREA DE PROTECAO AMBIENTAL SERRA DA TABATINGA;TO;Mateiros (TO);-10,29940003;-45,84660992;CERRADO;41782;3 - Moderada Efetividade;0.540841043;0.81790123;0.625;0.5;0.51658951;0.25;0.625
2019;Federal;0000.00.0012;AREA DE PROTECAO AMBIENTAL SERRA DA TABATINGA;TO;Mateiros (TO);-10,29940003;-45,84660992;CERRADO;41782;4 - Reduzida Efetividade;0.39933548;0.83333333;0.58333333;0.5;0.53240741;0.0;0.5
2020;Estadual;0000.29.0307;AREA DE PROTECAO AMBIENTAL SERRA DO BARBADO;BA;Abaíra (BA), Piatã (BA), Rio de Contas (BA), Rio do Pires (BA), Érico Cardoso (BA);-13,34022478;-41,88420058;CAATINGA;68038;3 - Moderada Efetividade;0.428448808;0.52739198;0.69166667;0.30833333;0.24253169;0.3515625;0.515625
2020;Estadual;0000.17.1498;AREA DE PROTECAO AMBIENTAL SERRA DO LAJEADO;TO;Aparecida do Rio Negro (TO), Lajeado (TO), Palmas (TO), Tocantínia (TO);-10,05066853;-48,21960284;CERRADO;111882;4 - Reduzida Efetividade;0.347558876;0.04577664;0.64322917;0.52083333;0.30215513;0.44791667;0.59821429
2020;Estadual;0000.31.0400;AREA DE PROTECAO AMBIENTAL SUL-RMBH;MG;Barão de Cocais (MG), Brumadinho (MG), Belo Horizonte (MG), CAETE (MG), Catas Altas (MG), Ibirité (MG), Itabirito (MG), Mário Campos (MG), Nova Lima (MG), Raposos (MG), Rio Acima (MG), Santa Bárbara (MG), Sarzedo (MG);-20,10630741;-43,79187782;MATA ATLANTICA;164430;4 - Reduzida Efetividade;0.366653601;0.33333333;0.50833333;0.5;0.17283951;0.4375;0.34375
2019;Municipal;0250.33.2801;AREA DE PROTECAO AMBIENTAL SURUI;RJ;Magé (RJ);-22,64075487;-43,10780373;MATA ATLANTICA;14146;5 - Não Efetiva;0.122668149;0.0;0.49166667;0.44444444;0.16789108;0.0;0.4375
2020;Estadual;0000.29.0304;AREA DE PROTECAO AMBIENTAL TINHARE / BOIPEBA;BA;Cairu (BA);-13,37906;-38,913021;MATA ATLANTICA;31071;3 - Moderada Efetividade;0.409516754;0.4133716;0.45138889;0.38333333;0.33111465;0.603125;0.328125
2018;Estadual;0000.29.0304;AREA DE PROTECAO AMBIENTAL TINHARE / BOIPEBA;BA;Cairu (BA);-13,37906;-38,913021;MATA ATLANTICA;31071;3 - Moderada Efetividade;0.408040372;0.51677852;0.393939;0.343915;0.28000975;0.53823529;0.41666667
2020;Estadual;0000.31.0370;AREA DE PROTECAO AMBIENTAL VARGEM DAS FLORES;MG;Betim (MG), Contagem (MG);-19,87119008;-44,12001577;CERRADO;12279;4 - Reduzida Efetividade;0.27686059;0.0;0.54166667;0.33333333;0.18531277;0.76388889;0.5
2020;Federal;0000.00.0031;AREA DE RELEVANTE INTERESSE ECOLOGICO CAPETINGA/TAQUARA;DF;Brasília (DF);-15,95977057;-47,93905606;CERRADO;2057;3 - Moderada Efetividade;0.464955034;0.5;0.58333333;0.41666667;0.34722222;0.625;0.375
2020;Estadual;0000.53.1658;AREA DE RELEVANTE INTERESSE ECOLOGICO CRULS;DF;Brasília (DF);-15,75023174;-47,91758005;CERRADO;55;5 - Não Efetiva;0.168762586;0.0;0.29166667;0.5;0.09645062;0.1875;0.4375
2019;Estadual;0000.41.0542;AREA DE RELEVANTE INTERESSE ECOLOGICO DA CABECA DO CACHORRO;PR;São Pedro do Iguaçu (PR);-24,985562;-53,883648;MATA ATLANTICA;58;3 - Moderada Efetividade;0.586404564;0.96875;0.875;0.5;0.69770986;0.25;0.39583333
2020;Estadual;0000.53.1644;AREA DE RELEVANTE INTERESSE ECOLOGICO DA GRANJA DO IPE;DF;RIACHO FUNDO (DF), NUCLEO BANDEIRANTE (DF);-15,92112593;-47,99380411;CERRADO;1141;4 - Reduzida Efetividade;0.338314797;0.4375;0.5;0.38888889;0.14988426;0.1875;0.4375
2020;Estadual;0000.53.1651;AREA DE RELEVANTE INTERESSE ECOLOGICO DA VILA ESTRUTURAL;DF;GUARA (DF);-15,77518334;-47,98748506;CERRADO;44;5 - Não Efetiva;0.088599282;0.0;0.5;0.08333333;0.02777778;0.1875;0.4375
2020;Estadual;0000.23.3483;AREA DE RELEVANTE INTERESSE ECOLOGICO DAS AGUAS EMENDADAS DOS INHAMUNS;CE;Independência (CE), Pedra Branca (CE), Tauá (CE);-5,405661626;-40,06650806;CAATINGA;407;3 - Moderada Efetividade;0.577050656;0.78125;0.40277778;0.33333333;0.53559028;1.0;0.54166667
2019;Estadual;0000.23.3483;AREA DE RELEVANTE INTERESSE ECOLOGICO DAS AGUAS EMENDADAS DOS INHAMUNS;CE;Independência (CE), Pedra Branca (CE), Tauá (CE);-5,405661626;-40,06650806;CAATINGA;407;3 - Moderada Efetividade;0.574268701;0.66145833;0.40277778;0.33333333;0.49565972;1.0;0.64583333
2019;Estadual;0000.25.2330;AREA DE RELEVANTE INTERESSE ECOLOGICO DE GOIAMUNDUBA;PB;Bananeiras (PB);-6,7376612;-35,61036178;MATA ATLANTICA;68;3 - Moderada Efetividade;0.577613038;0.91666667;0.5;0.5;0.63888889;0.425;0.5625
2020;Estadual;0000.53.1646;AREA DE RELEVANTE INTERESSE ECOLOGICO DO BOSQUE;DF;LAGO SUL (DF);-15,82744109;-47,87843183;CERRADO;20;5 - Não Efetiva;0.198134042;0.0;0.45833333;0.41666667;0.14236111;0.25;0.4375
2020;Estadual;0000.23.3807;AREA DE RELEVANTE INTERESSE ECOLOGICO DO CAMBEBA;CE;Fortaleza (CE);-3,813521;-38,488118;CAATINGA;11;3 - Moderada Efetividade;0.535365226;0.63777778;0.76041667;0.35416667;0.517896;0.51875;0.484375
2019;Estadual;0000.23.3807;AREA DE RELEVANTE INTERESSE ECOLOGICO DO CAMBEBA;CE;Fortaleza (CE);-3,813521;-38,488118;CAATINGA;11;3 - Moderada Efetividade;0.501616923;0.34166667;0.76041667;0.375;0.62263152;0.53472222;0.48214286
