nome_da_uc;nota_pessoal_mean;nota_pessoal_std;nota_equipamento_mean;nota_equipamento_std;nota_capacidade_mean;nota_capacidade_std;nota_recurso_mean;nota_recurso_std;nota_apoio_mean;nota_apoio_std;cnuc;bioma
ESTACAO ECOLOGICA DE ARACURI-ESMERALDA;0.6666666666666666;0.12909944487358055;0.5416666666666666;0.24579802006254375;0.75;0.15811388300841897;0.0;0.0;0.625;0.13693063937629152;0000.00.0050;MATA ATLANTICA
ESTACAO ECOLOGICA DE AREDES;0.39285714285714285;0.2439750182371333;0.5;0.14433756729740643;0.5;0.3535533905932738;0.07142857142857142;0.18898223650461363;0.07142857142857142;0.12198750911856666;0000.31.2611;MATA ATLANTICA
ESTACAO ECOLOGICA DE CAETES;0.7;0.19720265943665388;0.8;0.25819888974716115;0.875;0.2429563289518875;0.7;0.22973414586817037;0.375;0.21245914639969934;0000.26.0964;MATA ATLANTICA
ESTACAO ECOLOGICA DE CARIJOS;0.675;0.25777387071045943;0.7625;0.22176030208075426;0.8375;0.16770509831248423;0.525;0.39653101026939014;0.4625;0.28417702044213294;0000.00.0052;MATA ATLANTICA
ESTACAO ECOLOGICA DE CUNIA;0.38636363636363635;0.17188791273808215;0.5909090909090909;0.25672765902623523;0.6136363636363636;0.17188791273808215;0.5909090909090909;0.25672765902623523;0.4318181818181818;0.2522624895547565;0000.00.0053;AMAZONIA
ESTACAO ECOLOGICA DE FECHOS;0.5333333333333333;0.12909944487358055;0.8833333333333333;0.1599851183555461;0.8333333333333334;0.12198750911856662;0.26666666666666666;0.3949080664564615;0.16666666666666666;0.2041241452319315;0000.31.0384;MATA ATLANTICA
ESTACAO ECOLOGICA DE GUARAQUECABA;0.7;0.23786329554687718;0.9;0.1495607604040297;0.8375;0.20318192522181225;0.7125;0.2470217335420211;0.3125;0.26748093881915946;0000.00.0054;MATA ATLANTICA
ESTACAO ECOLOGICA DE JUTAI-SOLIMOES;0.35;0.13693063937629152;0.8;0.11180339887498947;0.65;0.22360679774997896;0.85;0.13693063937629155;0.6;0.13693063937629152;0000.00.0056;AMAZONIA
ESTACAO ECOLOGICA DE MARACA;0.5625;0.14433756729740646;0.796875;0.10077822185373188;0.875;0.12909944487358055;0.734375;0.11063265039459795;0.515625;0.17001838135919303;0000.00.0057;AMAZONIA
ESTACAO ECOLOGICA DE MARACA JIPIOCA;0.3409090909090909;0.12613124477737825;0.5;0.22360679774997896;0.7272727272727273;0.23596995186213474;0.5227272727272727;0.28404545090850897;0.38636363636363635;0.13055824196677338;0000.00.0058;AMAZONIA
ESTACAO ECOLOGICA DE MATA PRETA;0.6388888888888888;0.25344843876242584;0.6944444444444444;0.16666666666666666;0.8055555555555556;0.1666666666666667;0.6666666666666666;0.3535533905932738;0.5;0.21650635094610965;0000.00.0261;MATA ATLANTICA
ESTACAO ECOLOGICA DE MURICI;0.6875;0.18844459036110228;0.625;0.22613350843332272;0.7083333333333334;0.17943514064131838;0.5208333333333334;0.19824036527468977;0.375;0.2717786532523045;0000.00.0059;MATA ATLANTICA
ESTACAO ECOLOGICA DE NIQUIA;0.5769230769230769;0.1576062929890288;0.8076923076923077;0.1497861723788195;0.8653846153846154;0.12971863041569268;0.7884615384615384;0.20016019225635895;0.5576923076923077;0.1497861723788195;0000.00.0060;AMAZONIA
